date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:26:24	34092/34092	---M--	200	added ('OK')	application/font-sfnt	etag:%22852c-5e217765f7549%22	http://minia-v-light.react.themesbrand.com/static/media/fa-regular-400.c3146b3524e97475c094.ttf	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-regular-400.c3146b3524e97475c094.ttf	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:40	103300/103300	---M--	200	added ('OK')	application/font-woff	etag:%2219384-5e217765f9489%22	http://minia-v-light.react.themesbrand.com/static/media/fa-solid-900.a940d584750708f5435c.woff	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-solid-900.a940d584750708f5435c.woff	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:48	897426/897426	---M--	200	added ('OK')	image/svg+xml	etag:%22db192-5e217765f7549%22	http://minia-v-light.react.themesbrand.com/static/media/fa-solid-900.18df003f90a7f1313b98.svg	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-solid-900.18df003f90a7f1313b98.svg	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:54	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231896-5e217765f7549%22	http://minia-v-light.react.themesbrand.com/static/media/fa-solid-900.7eefe04dc985dd4ad38b.eot	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-solid-900.7eefe04dc985dd4ad38b.eot	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:55	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231896-5e217765f7549%22	http://minia-v-light.react.themesbrand.com/static/media/fa-solid-900.7eefe04dc985dd4ad38b.eot?	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-solid-900.7eefe04dc985dd4ad38bd41d.eot	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:56	40522/40522	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e4a-5e217765f4669%22	http://minia-v-light.react.themesbrand.com/static/media/dripicons-v2.7f392f1e4787b46b3e8b.eot	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/dripicons-v2.7f392f1e4787b46b3e8b.eot	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:27:00	26004/26004	---M--	200	added ('OK')	application/font-woff	etag:%226594-5e217765f4669%22	http://minia-v-light.react.themesbrand.com/static/media/dripicons-v2.f19dcc0358afed69d277.woff	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/dripicons-v2.f19dcc0358afed69d277.woff	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:27:02	40522/40522	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e4a-5e217765f4669%22	http://minia-v-light.react.themesbrand.com/static/media/dripicons-v2.7f392f1e4787b46b3e8b.eot?	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/dripicons-v2.7f392f1e4787b46b3e8bd41d.eot	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:27:04	202616/202616	---M--	200	added ('OK')	application/font-sfnt	etag:%2231778-5e217765f7549%22	http://minia-v-light.react.themesbrand.com/static/media/fa-solid-900.32267f3b4db33a7c85ee.ttf	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-solid-900.32267f3b4db33a7c85ee.ttf	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:27:04	99368/99368	---M--	200	added ('OK')	image/svg+xml	etag:%2218428-5e217765f4669%22	http://minia-v-light.react.themesbrand.com/static/media/dripicons-v2.4cecedd188b606da855d.svg	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/dripicons-v2.4cecedd188b606da855d.svg	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:27:04	40348/40348	---M--	200	added ('OK')	application/font-sfnt	etag:%229d9c-5e217765f4669%22	http://minia-v-light.react.themesbrand.com/static/media/dripicons-v2.09c9c870ef8f9cffcc8f.ttf	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/dripicons-v2.09c9c870ef8f9cffcc8f.ttf	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:27:22	18/18	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2017%20Nov%202022%2018:27:05%20GMT	https://cdnjs.cloudflare.com/robots.txt		(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
19:27:28	580508/580508	---M--	200	added ('OK')	image/jpeg	etag:%228db9c-5e217765ef849%22	http://minia-v-light.react.themesbrand.com/static/media/auth-bg.d63b81f507e131171534.jpg	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/auth-bg.d63b81f507e131171534.jpg	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
